title,url,discounted_price,original_price
Gancho Clip-on Bike assento traseiro Lâmpada Luz de advertência STH-548943,https://www.tinydeal.com/pt/hook-clip-on-rear-bike-seat-light-warning-lamp-p-174917.html,R$14.03,R$77.62 
Carro riscos de pintura Repair Pen escova Waterproof Pintura Marcador Pen Car Manter RTH-571469,https://www.tinydeal.com/pt/car-paint-scratches-repair-pen-brush-waterproof-paint-marker-pen-car-maintain-p-182211.html,R$8.49,R$26.06 
Artificial silicone suave Bait Set Camarão Luminous Atração da pesca com gancho SFS-545519,https://www.tinydeal.com/pt/artificial-silicone-soft-bait-set-luminous-shrimp-fishing-lure-with-hook-p-173693.html,R$6.62,R$14.58 
0.25W inteligentes Gabinete Luzes de sensores HHI-546845,https://www.tinydeal.com/pt/025w-intelligent-cabinet-sensor-lights-p-174242.html,R$10.46,R$28.23 
Aço inoxidável selado a vácuo Red Wine Bottle Stopper bico HKI-507455,https://www.tinydeal.com/pt/stainless-steel-vacuum-sealed-red-wine-bottle-stopper-spout-p-158461.html,R$13.85,R$15.75 
2x colorido LED de bicicleta Válvula Bike Light Bicicleta Roda leve pneu SBK-553784,https://www.tinydeal.com/pt/2x-multicoloured-led-bicycle-bike-valve-light-bike-wheel-light-tire-p-176576.html,R$9.06,R$18.57 
Impermeáveis reutilizáveis Chuva Shoes tampas de borracha Galochas Chuva Bota antiderrapante S-557900,https://www.tinydeal.com/pt/waterproof-reusable-rain-shoes-covers-rubber-slip-resistant-rain-boot-overshoes-p-179875.html,R$19.52,R$36.72 
IP67 P8 Smart Watch Wristband Men Women Monitor Smartwatch Tracker For Phone E-580457,https://www.tinydeal.com/pt/ip67-p8-smart-watch-wristband-men-women-monitor-smartwatch-tracker-for-phone-p-200649.html,R$100.14,R$196.53 
Ajustável Collar luminosa LED Pet Noite Segurança intermitente Dog Collar HPI-510107,https://www.tinydeal.com/pt/adjustable-luminous-led-pet-collar-night-safety-dog-flashing-collar-p-158814.html,R$15.27,R$26.58 
2pcs DC 12V 2W 41 milímetros Festoon 6000K LED Car Lâmpada Luz Branca RCB-71476,https://www.tinydeal.com/pt/2pcs-dc-12v-2w-41mm-festoon-6000k-led-car-white-light-lamp-p-51560.html,,
3 em 1 Cabo Nylon-Coating carregamento rápido 8Pin Type-C Micro-USB EPA-530685,https://www.tinydeal.com/pt/3-in-1-cable-nylon-coating-fast-charging-8pin-type-micro-usb-p-165980.html,R$13.52,R$23.37 
Silicone estiramento Tampas Food Saver Covers Set - 6pcs HKI-550666,https://www.tinydeal.com/pt/silicone-stretch-lids-food-saver-covers-set-–-6pcs-p-175450.html,R$26.27,R$36.72 
Mushroom Estilo 1 / 5W Sensor Light Lamp LED Night HLI-149180,https://www.tinydeal.com/pt/mushroom-style-15w-light-sensor-led-night-lamp-p-80565.html,R$13.28,R$20.42 
Multifuncional Anti Fadiga óculos para presbiopia para homens e mulheres DGS-374464,https://www.tinydeal.com/pt/multifunctional-anti-fatigue-presbyopic-glasses-for-men-women-p-144718.html,R$10.52,R$18.93 
Cigarreira de metal com windproof butano Oxicorte Tocha Isqueiro HLI-5383,https://www.tinydeal.com/pt/metal-cigarette-case-with-windproof-butane-jet-flame-torch-lighter-p-4798.html,R$26.22,R$27.66 
WLISTH S959 Men's Business Quartz Steel Band Sports Waterproof Watch WWT-580836,https://www.tinydeal.com/pt/wlisth-s959-mens-business-quartz-steel-band-sports-waterproof-watch-p-200674.html,R$67.05,R$138.35 
10 x Protective Goggles Fit Over Glasse Prevention of Coronavirus KB-581884,https://www.tinydeal.com/pt/10-x-protective-goggles-fit-over-glasse-prevention-of-coronavirus-p-200365.html,R$60.09,R$98.10 
300-LED 5M 5050 SMD 72W LED Indoor Light Strip HLD-232068,https://www.tinydeal.com/pt/300-led-5m-5050-smd-72w-indoor-led-light-strip-p-105499.html,R$44.56,R$52.60 
Mini Wireless Grinding Machine Variable Speed Rotary Tools Drill Engraver Pen HHIHE-576137,https://www.tinydeal.com/pt/mini-wireless-grinding-machine-variable-speed-rotary-tools-drill-engraver-pen-p-200738.html,R$84.19,R$158.06 
64GB USB 2.0 Flash Drive USB Pen Drive U Disk EFM-561923,https://www.tinydeal.com/pt/64gb-usb-20-flash-drive-usb-pen-drive-u-disk-p-178875.html,R$38.10,R$101.53 
H96 MAX RK3318 4GB RAM 64GB ROM 5G WiFi Bluetooth 4.0 Android 9.0 4K TV Box E-571219,https://www.tinydeal.com/pt/h96-max-rk3318-4gb-ram-64gb-rom-5g-wifi-bluetooth-40-android-90-4k-tv-box-p-182191.html,R$262.12,R$527.61 
T10 USB PC sem fio Bluetooth 5.0 Receiver Transmissores de áudio Adaptador Dongle TV RTH-572200,https://www.tinydeal.com/pt/t10-usb-wireless-bluetooth-50-receiver-transmitters-audio-adapter-dongle-tv-pc-p-182427.html,R$22.00,R$36.51 
10pcs LED Balloon Luz para casamento e decoração do partido SBK-522961,https://www.tinydeal.com/pt/10pcs-led-light-balloon-for-wedding-and-party-decoration-p-163018.html,R$16.83,R$21.33 
Criativa Folding caneta esferográfica Com Nail Clippers Cadeia Espelho Key HHI-515444,https://www.tinydeal.com/pt/creative-folding-ballpoint-pen-with-nail-clippers-key-chain-mirror-p-159701.html,,
SanDisk A1 64GB UHS-I / Classe 10 até cartão de memória SDHC Micro 98MB / s EFM-530162,https://www.tinydeal.com/pt/sandisk-a1-64gb-uhs-i-class-10-up-to-98mb-s-micro-sdhc-memory-card-p-165915.html,R$59.24,R$102.96 
Forma Sun Silicone Fried Egg Anel Mold Cozinhar Ferramenta HKI-403964,https://www.tinydeal.com/pt/sun-shape-silicone-fried-egg-mold-ring-cooking-tool-p-151695.html,R$7.59,R$8.28 
Car MP3 Player com Slot SD / MMC RFM-31092,https://www.tinydeal.com/pt/car-mp3-player-with-sdmmc-slot-p-26057.html,R$24.65,R$44.36 
8m Universal Car Tire Rim anel de proteção da roda Esfregando Faixa de prova de arranhões RTH-542170,https://www.tinydeal.com/pt/8m-universal-car-tire-rim-wheel-protection-ring-rubbing-scratch-proof-strip-p-172408.html,R$46.86,R$51.42 
15ft 30 LED gota da água design colorido Solar Cordas Luzes HSI-560845,https://www.tinydeal.com/pt/15ft-30-led-water-drop-design-colorful-solar-strings-lights-p-178743.html,R$78.33,R$142.74 
Wireless Bluetooth Headset Handsfree Driving Sport Over-Ear Earphone EEP-581917,https://www.tinydeal.com/pt/wireless-bluetooth-headset-handsfree-driving-sport-over-ear-earphone-p-200710.html,R$48.71,R$78.98 
216pcs 3 milímetros neodímio Magnetic Magic Cube Bolas Beads Blocos enigma Neo Cube TDS-545150,https://www.tinydeal.com/pt/216pcs-3mm-neodymium-magnetic-magic-cube-balls-beads-blocks-puzzle-neo-cube-p-173492.html,R$30.19,R$33.44 
Mini USB recarregável LED Lanterna Tocha impermeável com Keychain STH-386687,https://www.tinydeal.com/pt/mini-usb-rechargeable-led-flashlight-waterproof-torch-with-keychain-p-147976.html,R$14.46,R$28.17 
216 x 5 mm Buckyballs mágicos magnéticos Balls DIY FTY-12600,https://www.tinydeal.com/pt/216-x-5mm-buckyballs-magic-magnetic-diy-balls-p-11077.html,R$56.32,R$96.06 
2pcs H7 55W 12V 5000K Super White Light Bulb para carro RCB-242419,https://www.tinydeal.com/pt/2pcs-h7-55w-12v-5000k-super-white-light-halogen-bulb-for-car-p-108900.html,R$13.70,R$26.62 
14 em 1 Multifuncional EDC Ferramentas Cartão de tamanho de bolso NLC-524794,https://www.tinydeal.com/pt/14-in-1-multifunctional-edc-tools-card-pocket-size-p-163873.html,R$10.18,R$19.91 
Xiaomi Mijia iHealth Thermometer LED Non Contact Digital Infrared Forehead Body RTH-575855,https://www.tinydeal.com/pt/xiaomi-mijia-ihealth-thermometer-led-non-contact-digital-infrared-forehead-body-p-200865.html,R$152.86,R$198.71 
Evening borboleta pingente de strass T-Back Underwear Sexy DUW-278008,https://www.tinydeal.com/pt/evening-butterfly-pendant-rhinestones-t-back-sexy-underwear-p-118449.html,R$10.97,R$13.75 
Remote Control E27 RGB Bulb Música colorida HHI-563726,https://www.tinydeal.com/pt/remote-control-e27-rgb-colorful-music-bulb-p-180227.html,R$30.77,R$52.18 
New DP para HDMI Adapter 4K Ultra HD 3D banhado a ouro DisplayPort para HDMI Converter EDT-559325,https://www.tinydeal.com/pt/new-dp-to-hdmi-adapter-4k-ultra-hd-3d-gold-plated-displayport-to-hdmi-converter-p-179315.html,R$38.39,R$69.10 
ALIKE 50M Moda relógio de pulso à prova d'água Homens analógico-digital WMN-205187-C3,https://www.tinydeal.com/pt/alike-fashion-50m-waterproof-men-analog-digital-wrist-watch-p-163295.html,R$50.50,R$103.67 
DisplayPort DP Macho para HDMI Feminino Converter Plug Adapter Connector Plug Adapter EDT-557487,https://www.tinydeal.com/pt/displayport-dp-male-to-hdmi-female-converter-adapter-plug-connector-adaptor-plug-p-180054.html,R$12.74,R$13.29 
1/2/4 pcs Posture Corrector ombro para trás Suporte Brace Belt Vest Postura HBI-216132,https://www.tinydeal.com/pt/124-pcs-posture-corrector-shoulder-back-brace-belt-vest-posture-supporter-p-100149.html,R$24.70,R$44.44 
Corte de cabelo Manto Vestido de guarda-chuva Hair Salon Cabo Cabeleireiro Haircut avental Bib HKI-549496,https://www.tinydeal.com/pt/hair-cutting-cloak-gown-umbrella-hair-salon-cape-hairdresser-haircut-bib-apron-p-175156.html,R$19.86,R$36.72 
TWS4 Bluetooth 5.0 Wireless Headphones Touch Mini In-Ear Buds w Charging Bin EEP-582907,https://www.tinydeal.com/pt/tws4-bluetooth-50-wireless-headphones-touch-mini-in-ear-buds-w-charging-bin-p-200741.html,R$53.88,R$104.68 
1/2/4 Conjunto de 6pcs capa de silicone Cerveja fresca de manutenção Cap Bottle HKI-147831,https://www.tinydeal.com/pt/124-set-of-6pcs-silicone-beer-cover-beer-fresh-keeping-bottle-cap-p-80300.html,R$6.97,R$10.28 
Terapia magnética térmica auto-aquecimento cintura Pad Cinto Brace HSI-25926,https://www.tinydeal.com/pt/magnetic-therapy-thermal-self-heating-waist-pad-belt-waist-brace-p-21743.html,R$34.69,R$62.44 
Moda Temperatura Termômetro inteligente de medição de aço inoxidável Anel HHI-566390,https://www.tinydeal.com/pt/fashion-intelligent-thermometer-temperature-measuring-ring-stainless-steel-p-181553.html,R$9.40,R$10.62 
1/2 pcs CREE XM-L T6 1-LED 3800LM 5 Modos Zoom levou lanterna STH-485135,https://www.tinydeal.com/pt/12-pcs-cree-xm-l-t6-1-led-3800lm-5-modes-zoom-led-flashlight-p-156642.html,R$39.76,R$71.57 
6pcs lâminas de barbear de 6 camadas + Shaver Handle HHI-557375,https://www.tinydeal.com/pt/6pcs-6-layer-razor-blades-shaver-handle-p-178095.html,R$20.34,R$35.48 
Duster Escova de limpeza limpar a sujeira ferramenta Dual Head Car RTH-520627,https://www.tinydeal.com/pt/clean-tool-dirt-duster-dual-head-car-cleaning-brush-p-161952.html,R$11.39,R$20.50 
Cores quentes Car Auto casaco claro Escova de pintura Pen zero removedor ferramenta Limpar Repair RTH-562718,https://www.tinydeal.com/pt/hot-colors-auto-car-coat-clear-paint-pen-brush-scratch-clear-repair-remover-tool-p-179410.html,R$9.59,R$11.50 
Fm Transmitter Car MP3 Player LED Blue Screen Bluetooth FM Transmitter RTH-580204,https://www.tinydeal.com/pt/fm-transmitter-car-mp3-player-led-blue-screen-bluetooth-fm-transmitter-p-200683.html,R$56.27,R$101.27 
H96 MAX TV Box RK3328 Quad Core 4G + 32G Android 7.1 HD dupla WiFi BT Smart TV Box E-542937,https://www.tinydeal.com/pt/h96-max-tv-box-rk3328-quad-core-4g32g-android-71-hd-dual-wifi-bt-smart-tv-box-p-172801.html,R$352.33,R$477.75 
Suspensão Keychain Chaveiro Chaveiros Anel da mola do amortecedor para carro NLC-549160,https://www.tinydeal.com/pt/suspension-keychain-key-chains-ring-keyrings-spring-shock-absorber-for-car-p-174923.html,R$11.74,R$21.13 
Magnético 1M Micro USB Cabo Sincronização/Carga para Samsung Xiaomi EPACB-487297,https://www.tinydeal.com/pt/12-pcs-standard-1m-magnetic-charge-cable-detachable-micro-usb-metal-plug-p-156704.html,R$15.44,R$33.70 
Universal bolsa com alça de cintura EPA-548929,https://www.tinydeal.com/pt/universal-pouch-with-waist-strap-p-174918.html,R$18.06,R$20.34 
37 polegadas Retrátil Micro USB / Sync Cable luz colorida EPACB-468956,https://www.tinydeal.com/pt/37-inch-retractable-micro-usb-chargesync-colorful-light-cable-p-156152.html,R$11.69,R$33.44 
3.5mm Stereo Woven linha de pano de fibra Headset EDT-556403,https://www.tinydeal.com/pt/35mm-stereo-woven-fiber-cloth-line-headset-p-178024.html,R$8.31,R$26.25 
4 portas Car Pack Sill Protector Etiqueta 3D de fibra de carbono Pedais Guarda Autoparts HHI-573062,https://www.tinydeal.com/pt/4-pack-car-door-sill-protector-sticker-3d-carbon-fiber-pedals-guards-autoparts-p-182650.html,R$13.21,R$14.78 
Simplificada Package 216 x 3 milímetros Buckyballs Magnetic DIY Balls Neocube TTH-417687,https://www.tinydeal.com/pt/simplified-package-216-x-3mm-buckyballs-magnetic-diy-balls-neocube-p-153376.html,R$21.08,R$36.07 
1/2/4/6 Par terapia magnética térmica auto-aquecimento do tornozelo Pad Belt Brace BBI-276852,https://www.tinydeal.com/pt/1246-pair-magnetic-therapy-thermal-self-heating-ankle-pad-belt-brace-p-118226.html,R$16.21,R$20.07 
1/2/5/10 pcs Mini reutilizáveis Silicone Baking Cups Muffin Cups Truffle Cups HKI-544853,https://www.tinydeal.com/pt/12510-pcs-mini-reusable-silicone-baking-cups-muffin-cups-truffle-cups-p-173471.html,R$5.21,R$14.60 
Multifuncional LED óculos de leitura Óculos com 1-LED Lamp HHI-374123,https://www.tinydeal.com/pt/multifunctional-led-reading-glasses-eyeglasses-with-1-led-lamp-p-144737.html,R$13.38,R$24.07 
Men Shoulder Bag iPad Large PU Leather Crossbody Business Travel Handbag HHI-583042,https://www.tinydeal.com/pt/men-shoulder-bag-ipad-large-pu-leather-crossbody-business-travel-handbag-p-200788.html,R$102.17,R$197.59 
FM / MP3 transmissor sem fio com controle remoto para carro RFM-96304,https://www.tinydeal.com/pt/fm-mp3-wireless-transmitter-with-remote-controller-for-car-p-61215.html,R$21.52,R$23.24 
1/2/4/6/10 pcs Survival faísca de fogo Flint Firestone Striker Fire Starter QCH-233585,https://www.tinydeal.com/pt/124610-pcs-survival-fire-sparkle-flint-firestone-striker-fire-starter-p-105386.html,R$16.57,R$20.61 
Xiaomi pistão Dazzle Earphones edição original com Mic EEP-455477-C3,https://www.tinydeal.com/pt/original-xiaomi-piston-dazzle-edition-earphones-with-mic-p-160055.html,R$30.64,R$35.25 
2.4GHz Mini I8 sem fio 92Key QWERT Keyboard + Air Mouse CKB-77220,https://www.tinydeal.com/pt/24ghz-mini-i8-wireless-92key-qwert-keyboard-air-mouse-p-53759.html,R$45.80,R$82.43 
1/6 Mini Light Laser 3 em 1 ponteiro LED tocha lanterna mosquetão SCH-298054,https://www.tinydeal.com/pt/16-mini-laser-light-3-in-1-pointer-led-torch-flashlight-carabiner-p-124661.html,R$8.14,R$10.08 
LEELIFE sedutor profunda V Neck Babydolls Nightdress para senhoras NUL-147002,https://www.tinydeal.com/pt/leelife-seductive-deep-v-neck-babydolls-nightdress-for-ladies-p-79715.html,R$25.81,R$33.49 
USB 2.0 802.11 b / g / n 150 Mbps adaptador wireless com antena CNP-150792,https://www.tinydeal.com/pt/usb20-80211-b-g-n-150mbps-wireless-adapter-with-antenna-p-81238.html,R$25.21,R$32.89 
LCD Digital Tempo Termômetro Projection Alarm Clock WTH-97996,https://www.tinydeal.com/pt/lcd-digital-weather-thermometer-projection-alarm-clock-p-61710.html,R$55.15,R$59.83 
Protective Goggles Fit Over Glasse Prevention of Coronavirus Anti-Dust NECEA-581223,https://www.tinydeal.com/pt/protective-goggles-fit-over-glasse-prevention-of-coronavirus-anti-dust-p-200331.html,R$14.60,R$26.27 
Hanging Neck Mini Fan Cooler Small Fan Handheld USB Rechargeable HHI-582803,https://www.tinydeal.com/pt/hanging-neck-mini-fan-cooler-small-fan-handheld-usb-rechargeable-p-200777.html,R$62.11,R$74.52 
1/5/10/50 pcs Bluetooth Car 3.0 Áudio Wireless Music Receiver Adaptador RFM-521547,https://www.tinydeal.com/pt/151050-pcs-car-bluetooth-30-wireless-audio-music-receiver-adapter-p-162377.html,R$20.22,R$35.24 
Bolsa Kit portátil First Aid Bag HHI-557718,https://www.tinydeal.com/pt/portable-first-aid-kit-pouch-bag-p-178101.html,R$16.22,R$29.19 
Tela de 2 polegadas HD Crianças Mini Digital Camera Chargable Câmera Brinquedos presente das crianças RTH-572086,https://www.tinydeal.com/pt/2-inch-hd-screen-kids-mini-digital-camera-chargable-camera-toys-children-gift-p-182341.html,R$60.53,R$66.57 
1/2/4 pcs EU Plug 2 em 1 Mosquito assassino Lâmpada LED Night Light Dormir Lâmpada HHI-515141,https://www.tinydeal.com/pt/124-pcs-eu-plug-2-in-1-mosquito-killer-lamp-led-night-light-sleeping-lamp-p-159461.html,R$15.68,R$36.07 
Lixo Carro dobrável saco de lixo pode carro do lixo Resíduos Bin Lixeira Car Trash HHI-550285,https://www.tinydeal.com/pt/collapsible-car-garbage-bag-garbage-can-car-trash-waste-bin-trash-can-car-trash-p-175290.html,R$37.06,R$66.71 
E27 220-240V 18W 1260-1330LM 72-LED SMD 5730 LED milho bulbo HLT-507736,https://www.tinydeal.com/pt/e27-220-240v-18w-1260-1330lm-72-led-smd-5730-led-corn-bulb-p-158597.html,R$17.78,R$30.50 
"7,87” Silicone Folding Cozinha Filtro - tamanho pequeno HHI-548566",https://www.tinydeal.com/pt/787”-silicone-folding-kitchen-strainer-–-small-size-p-174604.html,R$25.34,R$45.61 
Mágico Intelecto Ball Puzzle Toy QI instrutor para crianças Crianças FTY-13833,https://www.tinydeal.com/pt/magical-intellect-puzzle-ball-iq-trainer-toy-for-kids-children-p-12350.html,R$30.78,R$55.41 
NAVIFORCE NF9161 Men's Watches Top Luxury Brand Analog Stainless Steel WWT-580848,https://www.tinydeal.com/pt/naviforce-nf9161-mens-watches-top-luxury-brand-analog-stainless-steel-p-200814.html,R$100.46,R$180.83 
Criativa Nut scew Projeto vegetal Pepino Slicer - cores sortidas HKI-338714,https://www.tinydeal.com/pt/creative-nut-scew-design-vegetable-cucumber-slicer-assorted-color-p-136589.html,R$14.95,R$26.91 
Alarme de aço inoxidável Digital Cronômetro relógio de pulso Excelente relógio de pulso WWT-557947,https://www.tinydeal.com/pt/stainless-steel-digital-alarm-stopwatch-wrist-watch-excellent-wristwatch-p-177604.html,R$15.18,R$34.65 
DUBERY 163 Polarized Sunglasses Men Driving Shades Male Retro Sun Glasses HHI-582364,https://www.tinydeal.com/pt/dubery-163-polarized-sunglasses-men-driving-shades-male-retro-sun-glasses-p-200752.html,R$31.33,R$37.58 
Original Xiaomi 1M Xiaomi Dados Cabo USB para celulares Xiaomi Digital produtos E-531756,https://www.tinydeal.com/pt/original-xiaomi-1m-xiaomi-usb-data-cable-for-cellphones-xiaomi-digital-product-p-166352.html,R$17.55,R$31.58 
Universal Micro-USB OTG TF / SD Card Reader para Smartphone Tablet PC ECACR-483880,https://www.tinydeal.com/pt/universal-micro-usb-otg-tfsd-card-reader-for-smartphone-tablet-pc-p-156504.html,R$6.78,R$13.76 
Criativa planta de ovo Alçapão com sementes e do solo de nutrientes TTH-305650,https://www.tinydeal.com/pt/creative-egg-hatches-plant-with-seeds-nutrient-soil-p-127055.html,,
Multifuncional exterior Combinação Outdoor Ferramenta Faca Alicates vivo Wrench HHI-533136,https://www.tinydeal.com/pt/outdoor-multifunctional-outdoor-combination-tool-knife-pliers-live-wrench-p-167184.html,R$15.52,R$27.94 
300-LED 5M 18W 3528 SMD Indoor LED Light Strip HLD-232081,https://www.tinydeal.com/pt/300-led-5m-18w-3528-smd-indoor-led-light-strip-p-105650.html,R$41.37,R$44.23 
Multicamadas Glitter Clavícula cadeia colar de pingente de moda DJA-375871,https://www.tinydeal.com/pt/multilayer-glitter-clavicle-chain-fashion-pendant-necklace-p-145270.html,R$9.64,R$17.36 
Morango hullers corers Tomato Fruit Retirar Stalks descascadora HKI-530421,https://www.tinydeal.com/pt/strawberry-hullers-tomato-corers-fruit-remove-stalks-huller-p-165924.html,R$9.40,R$9.66 
